Date,Open,High,Low,Close,Adj Close,Volume
2020-11-03,30.420000,30.760000,29.900000,30.100000,28.227737,17154400
2020-11-04,30.410000,30.850000,30.070000,30.320000,28.434053,13726100
2020-11-05,30.650000,31.129999,30.440001,30.690001,28.781036,18692500
2020-11-06,30.500000,30.660000,30.180000,30.490000,28.593481,12861600
2020-11-09,32.130001,32.959999,32.000000,32.700001,30.666018,33781000
2020-11-10,32.770000,34.820000,32.730000,34.369999,32.232136,42044300
2020-11-11,34.330002,34.770000,33.360001,34.160000,32.035198,27125800
2020-11-12,33.990002,34.130001,32.380001,32.730000,30.694149,24995400
2020-11-13,32.990002,33.169998,32.400002,33.049999,30.994244,17339500
2020-11-16,33.560001,34.250000,33.450001,33.900002,31.791376,23210900
2020-11-17,33.619999,34.410000,33.400002,34.200001,32.258049,18689500
2020-11-18,34.070000,34.650002,33.779999,34.279999,32.333511,20020100
2020-11-19,34.200001,35.099998,33.990002,34.619999,32.654205,21003100
2020-11-23,34.560001,35.070000,34.310001,34.520000,32.559883,17514500
2020-11-24,34.740002,36.060001,34.740002,35.439999,33.427643,22541800
2020-11-25,35.400002,35.630001,34.650002,35.340000,33.333317,13708100
2020-11-26,35.070000,35.189999,34.410000,34.779999,32.805122,9168500
2020-11-27,34.889999,35.310001,34.500000,34.610001,32.644772,9632200
2020-11-30,34.500000,34.580002,33.750000,33.860001,31.937357,19409500
2020-12-01,34.529999,35.369999,34.340000,34.790001,32.814552,19383800
2020-12-02,34.790001,35.330002,34.549999,34.939999,32.956039,12292600
2020-12-03,34.990002,35.880001,34.880001,35.240002,33.238998,21574900
2020-12-04,35.599998,35.980000,35.220001,35.980000,33.936981,14127700
2020-12-07,35.810001,37.270000,35.610001,36.150002,34.097328,23995800
2020-12-08,36.520000,37.580002,36.060001,36.459999,34.389725,18974300
2020-12-09,36.619999,36.900002,35.939999,35.959999,33.918114,12855300
2020-12-10,36.250000,38.000000,36.230000,37.830002,35.681934,26352300
